DataSet11.txt y p= 1.1
 11 6 0 0 0
 7 0 0 0 0
 8 10 0 0 0
 9 0 0 0 0
 2 0 0 0 0
 4 3 0 0 0
DataSet11.txt y p= 1.2
 11 6 7 0 0
 8 10 0 0 0
 9 2 0 0 0
 5 0 0 0 0
 4 3 0 0 0
DataSet11.txt y p= 1.3
 11 6 7 0 0
 8 10 0 0 0
 9 2 0 0 0
 5 0 0 0 0
 4 3 0 0 0
DataSet205.txt y p= 1.1
 64 0 0 0 0
 148 147 0 0 0
 197 0 0 0 0
 142 0 0 0 0
 149 0 0 0 0
 44 0 0 0 0
 130 140 0 0 0
 131 0 0 0 0
 106 101 53 52 54
 87 86 136 5 6
 42 0 0 0 0
 66 0 0 0 0
 59 134 0 0 0
 49 0 0 0 0
 150 0 0 0 0
 156 0 0 0 0
 71 76 0 0 0
 19 32 26 62 0
 173 0 0 0 0
 158 0 0 0 0
 157 0 0 0 0
 159 0 0 0 0
 166 0 0 0 0
 160 0 0 0 0
 81 0 0 0 0
 69 0 0 0 0
 46 12 0 0 0
 60 0 0 0 0
 77 199 0 0 0
 78 0 0 0 0
 200 0 0 0 0
 176 0 0 0 0
 143 0 0 0 0
 141 187 0 0 0
 190 191 0 0 0
 8 0 0 0 0
 112 121 0 0 0
 196 0 0 0 0
 195 0 0 0 0
 113 0 0 0 0
 119 0 0 0 0
 120 0 0 0 0
 118 0 0 0 0
 193 0 0 0 0
 117 0 0 0 0
 89 0 0 0 0
 90 0 0 0 0
 93 0 0 0 0
 128 0 0 0 0
 91 0 0 0 0
 174 0 0 0 0
 205 0 0 0 0
DataSet205.txt y p= 1.2
 64 0 0 0 0
 148 147 0 0 0
 197 0 0 0 0
 142 0 0 0 0
 149 0 0 0 0
 63 0 0 0 0
 44 0 0 0 0
 130 140 0 0 0
 131 0 0 0 0
 103 101 53 52 54
 87 86 136 5 6
 42 0 0 0 0
 66 0 0 0 0
 59 134 0 0 0
 49 0 0 0 0
 137 0 0 0 0
 156 85 76 0 0
 19 33 34 181 161
 173 0 0 0 0
 158 0 0 0 0
 157 0 0 0 0
 81 0 0 0 0
 160 0 0 0 0
 166 0 0 0 0
 159 0 0 0 0
 61 0 0 0 0
 163 0 0 0 0
 69 0 0 0 0
 70 68 0 0 0
 12 0 0 0 0
 60 0 0 0 0
 77 199 0 0 0
 10 0 0 0 0
 79 200 0 0 0
 176 143 0 0 0
 78 0 0 0 0
 177 0 0 0 0
 178 55 0 0 0
 189 141 187 0 0
 188 0 0 0 0
 95 108 0 0 0
 65 198 0 0 0
 186 0 0 0 0
 204 201 202 0 0
 94 0 0 0 0
 128 91 0 0 0
 93 0 0 0 0
 174 0 0 0 0
 205 0 0 0 0
DataSet205.txt y p= 1.3
 64 0 0 0 0
 148 147 0 0 0
 197 142 0 0 0
 149 0 0 0 0
 63 0 0 0 0
 44 0 0 0 0
 131 140 0 0 0
 130 0 0 0 0
 98 105 51 52 54
 87 86 151 5 6
 42 58 133 134 4
 144 0 0 0 0
 49 137 0 0 0
 48 0 0 0 0
 150 162 0 0 0
 85 24 0 0 0
 14 20 34 181 166
 173 0 0 0 0
 159 163 0 0 0
 46 13 60 0 0
 79 200 0 0 0
 178 55 0 0 0
 97 0 0 0 0
 108 0 0 0 0
 3 0 0 0 0
 92 0 0 0 0
 2 0 0 0 0
 198 0 0 0 0
 190 191 0 0 0
 192 0 0 0 0
 186 203 0 0 0
 201 202 94 0 0
 155 119 0 0 0
 109 195 0 0 0
 126 118 0 0 0
 124 120 0 0 0
 114 117 0 0 0
 112 0 0 0 0
 116 121 0 0 0
 123 113 0 0 0
 194 193 128 0 0
 122 196 0 0 0
 125 90 91 0 0
 107 0 0 0 0
 110 0 0 0 0
 127 0 0 0 0
 115 0 0 0 0
 111 0 0 0 0
 75 93 0 0 0
 80 89 0 0 0
 174 0 0 0 0
 205 0 0 0 0
DataSet11.txt y p= 1.1
 11 6 0 0 0
 7 0 0 0 0
 8 10 0 0 0
 9 0 0 0 0
 2 0 0 0 0
 4 3 0 0 0
DataSet11.txt y p= 1.2
 11 6 7 0 0
 8 10 0 0 0
 9 2 0 0 0
 5 0 0 0 0
 4 3 0 0 0
DataSet11.txt y p= 1.3
 11 6 7 0 0
 8 10 0 0 0
 9 2 0 0 0
 5 0 0 0 0
 4 3 0 0 0
DataSet205.txt y p= 1.1
 64 0 0 0 0
 148 147 0 0 0
 197 0 0 0 0
 142 0 0 0 0
 149 0 0 0 0
 44 0 0 0 0
 130 140 0 0 0
 131 0 0 0 0
 106 101 53 52 54
 87 86 136 5 6
 42 0 0 0 0
 66 0 0 0 0
 59 134 0 0 0
 49 0 0 0 0
